"id","speed","battery","status","received_at"
"Pod-3","1077","79","Docked","13:05:57"
"Pod-6","1024","73","Maintenance","13:05:59"
"Pod-5","605","37","Operational","13:06:01"
"Pod-5","848","54","Maintenance","13:06:03"
"Pod-5","677","91","Operational","13:06:05"
"Pod-3","1166","54","Maintenance","13:06:07"
"Pod-5","1125","96","Docked","13:06:09"
"Pod-1","620","30","Maintenance","13:06:11"
"Pod-6","1119","20","Maintenance","13:06:13"
"Pod-5","907","72","Operational","13:06:15"
"Pod-6","809","53","Operational","13:06:17"
"Pod-6","810","81","Docked","13:06:21"
"Pod-1","1067","21","Operational","13:06:21"
"Pod-4","735","81","Docked","13:06:23"
"Pod-5","777","66","Operational","13:06:25"
"Pod-2","852","35","Operational","13:06:27"
"Pod-3","1121","29","Maintenance","13:06:29"
"Pod-2","901","22","Docked","13:06:31"
"Pod-5","1155","92","Maintenance","13:06:33"
"Pod-2","1163","68","Maintenance","13:06:35"
"Pod-3","788","28","Docked","13:06:37"
"Pod-3","763","93","Operational","13:06:39"
"Pod-3","840","81","Docked","13:06:41"
"Pod-2","784","32","Docked","13:07:27"
"Pod-6","999","100","Maintenance","13:07:29"
"Pod-4","963","79","Operational","13:07:31"
"Pod-6","1079","43","Docked","13:07:33"
"Pod-1","1094","28","Operational","13:07:35"
"Pod-3","876","47","Operational","13:07:37"
"Pod-5","824","46","Operational","13:07:39"
"Pod-2","676","66","Maintenance","13:07:41"
"Pod-6","850","52","Maintenance","13:07:43"
"Pod-3","708","100","Maintenance","13:07:45"
"Pod-6","968","97","Docked","13:07:47"
"Pod-3","1126","76","Docked","13:07:49"
"Pod-3","664","79","Operational","13:07:51"
"Pod-5","741","24","Operational","13:07:53"
"Pod-2","1121","24","Operational","13:07:55"
"Pod-2","829","97","Docked","13:07:57"
"Pod-5","1163","77","Operational","13:07:59"
"Pod-1","643","100","Maintenance","13:25:45"
"Pod-4","812","42","Docked","13:25:47"
"Pod-2","842","24","Operational","13:25:49"
"Pod-4","833","86","Docked","15:24:38"
"Pod-4","866","74","Docked","15:24:40"
